Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,33195,2010,10,29,0.0,1,N
IDCJAC0009,33195,2010,10,30,0.0,1,N
IDCJAC0009,33195,2010,10,31,0.0,1,N
IDCJAC0009,33195,2010,11,01,0.0,1,N
IDCJAC0009,33195,2010,11,02,7.0,1,N
IDCJAC0009,33195,2010,11,03,0.0,1,N
IDCJAC0009,33195,2010,11,04,5.2,1,N
IDCJAC0009,33195,2010,11,05,7.0,1,N
IDCJAC0009,33195,2010,11,06,0.0,1,N
IDCJAC0009,33195,2010,11,07,0.0,1,N
IDCJAC0009,33195,2010,11,08,0.0,1,N
IDCJAC0009,33195,2010,11,09,2.8,1,N
IDCJAC0009,33195,2010,11,10,2.8,1,N
IDCJAC0009,33195,2010,11,11,0.2,1,N
IDCJAC0009,33195,2010,11,12,0.0,1,N
IDCJAC0009,33195,2010,11,13,0.6,1,N
IDCJAC0009,33195,2010,11,14,0.0,1,N
IDCJAC0009,33195,2010,11,15,0.6,1,N
IDCJAC0009,33195,2010,11,16,4.0,1,N
IDCJAC0009,33195,2010,11,17,1.4,1,N
IDCJAC0009,33195,2010,11,18,14.8,1,N
IDCJAC0009,33195,2010,11,19,33.2,1,N
IDCJAC0009,33195,2010,11,20,12.2,1,N
IDCJAC0009,33195,2010,11,21,9.8,1,N
IDCJAC0009,33195,2010,11,22,20.2,1,N
IDCJAC0009,33195,2010,11,23,0.4,1,N
IDCJAC0009,33195,2010,11,24,5.2,1,N
IDCJAC0009,33195,2010,11,25,0.0,1,N
IDCJAC0009,33195,2010,11,26,0.0,1,N
IDCJAC0009,33195,2010,11,27,0.0,1,N
IDCJAC0009,33195,2010,11,28,0.6,1,N
IDCJAC0009,33195,2010,11,29,0.6,1,N
IDCJAC0009,33195,2010,11,30,0.0,1,N
IDCJAC0009,33195,2010,12,01,12.4,1,Y
IDCJAC0009,33195,2010,12,02,9.8,1,Y
IDCJAC0009,33195,2010,12,03,89.2,1,Y
IDCJAC0009,33195,2010,12,04,67.6,1,Y
IDCJAC0009,33195,2010,12,05,0.0,1,Y
IDCJAC0009,33195,2010,12,06,0.0,1,Y
IDCJAC0009,33195,2010,12,07,3.8,1,Y
IDCJAC0009,33195,2010,12,08,0.0,1,Y
IDCJAC0009,33195,2010,12,09,0.4,1,Y
